investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,False,197.0,13.0,13.0,1825.5,True,LONGA METRAGEM,True,False,False,False,False
False,False,True,204825.0,2167.0,267.0,2394036.87,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,4078.0,196.0,61.0,48711.96,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,5659.0,574.0,73.0,73888.54,False,LONGA METRAGEM,False,True,False,False,False
True,False,True,3517.0,105.0,50.0,49818.28,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,777.0,115.0,34.0,7940.96,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,205157.0,2217.0,111.0,2373703.61,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,81367.0,2070.0,56.0,910796.46,False,LONGA METRAGEM,False,False,True,False,False
False,False,True,521.0,98.0,14.0,6707.83,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,179745.0,2525.0,63.0,2237498.32,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,3706.0,390.0,48.0,48219.09,False,LONGA METRAGEM,False,True,False,False,False
False,False,True,25999.0,319.0,51.0,327317.11,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,3726547.0,11895.0,121.0,45688069.53,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,381889.0,4156.0,63.0,4171611.46,True,LONGA METRAGEM,False,False,True,False,False
False,True,False,1.0,1.0,1.0,19.94,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,891.0,138.0,40.0,10153.18,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,776.0,124.0,124.0,15473.44,True,CURTA METRAGEM,False,True,False,False,False
False,False,False,962.0,57.0,37.0,8972.66,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,35.0,6.0,3.0,393.22,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,263.0,35.0,35.0,5244.22,False,CURTA METRAGEM,False,False,False,False,True
True,False,True,2836.0,122.0,28.0,45857.25,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,7804.0,307.0,49.0,107063.44,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,533.0,4.0,4.0,8447.55,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,2836.0,237.0,35.0,43868.34,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,740.0,70.0,21.0,9678.4,False,LONGA METRAGEM,False,False,True,False,False
False,False,True,256046.0,2442.0,102.0,2948394.64,True,LONGA METRAGEM,False,False,True,False,False
